neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Western Addition,Entire home/apt,37.76931,-122.43386,170,1,199,1.63,1,115
Inner Sunset,Private room,37.75402,-122.45805,99,1,136,1.11,3,59
Bernal Heights,Entire home/apt,37.74511,-122.42102,235,30,111,0.89,1,0
Haight Ashbury,Private room,37.76669,-122.4525,65,32,17,0.14,9,340
Haight Ashbury,Private room,37.76487,-122.45183,65,32,8,0.13,9,365
Western Addition,Entire home/apt,37.77525,-122.43637,475,4,28,0.23,2,71
Western Addition,Entire home/apt,37.78471,-122.44555,255,2,36,0.3,1,46
Mission,Private room,37.75919,-122.42237,139,1,687,5.63,2,118
Potrero Hill,Private room,37.76259,-122.40543,135,1,492,4.13,1,317
Mission,Entire home/apt,37.75874,-122.41327,265,30,337,2.8,1,360
Nob Hill,Entire home/apt,37.79143,-122.41544,120,30,18,0.19,1,350
Haight Ashbury,Entire home/apt,37.77187,-122.43859,177,30,37,0.31,40,304
Western Addition,Entire home/apt,37.77355,-122.42436,194,30,14,0.15,40,231
Downtown/Civic Center,Entire home/apt,37.78574,-122.40798,139,30,19,0.24,40,309
Haight Ashbury,Private room,37.77019,-122.44594,85,32,6,0.06,9,365
Haight Ashbury,Private room,37.76894,-122.44778,85,32,5,0.07,9,365
Castro/Upper Market,Private room,37.76075,-122.43032,79,3,408,3.51,1,19
Inner Sunset,Entire home/apt,37.76203,-122.45455,166,30,16,0.19,1,340
Mission,Entire home/apt,37.75491,-122.42246,215,3,110,0.95,1,290
South of Market,Entire home/apt,37.78647,-122.39072,450,30,14,0.13,1,354
Noe Valley,Entire home/apt,37.74888,-122.42982,107,30,62,0.56,1,248
Western Addition,Private room,37.77252,-122.43216,110,2,384,4.11,2,51
Nob Hill,NULL,37.7958,-122.41533,125,30,119,1.06,1,348
Haight Ashbury,Private room,37.7648,-122.45251,65,32,14,0.15,9,365
Bernal Heights,Private room,37.74556,-122.41207,98,3,245,2.16,2,354
Castro/Upper Market,Entire home/apt,37.75963,-122.44143,155,3,378,3.4,1,238
Noe Valley,Entire home/apt,37.74885,-122.43673,180,3,234,2.07,1,159
Potrero Hill,Private room,37.75645,-122.3991,155,2,286,2.56,2,149
Haight Ashbury,Private room,37.77162,-122.43836,79,1,195,1.77,1,291
Western Addition,Entire home/apt,37.78716,-122.43386,195,5,301,2.65,2,121
Noe Valley,Private room,37.74188,-122.43122,150,5,33,0.87,1,319
Western Addition,Private room,37.77729,-122.43421,110,3,420,3.93,2,36
Potrero Hill,Private room,37.76212,-122.39541,125,4,306,2.78,1,241
Western Addition,Private room,37.78895,-122.43031,110,2,81,0.92,3,360
Western Addition,Entire home/apt,37.77478,-122.4315,450,2,33,0.34,1,0
